zodiac,area,text
capricorn,daily,"Your eye for detail sharpens as the moon enters Gemini, dear Capricorn, giving you an edge when it comes to correcting errors, completing tasks, and turning in exceptional work. This luminary placement also promotes teamwork, nudging you to lean into stable partnerships around the office and share duties to get ahead as a unit. Your financial situation could also evolve under this cosmic climate as Pluto stirs, helping you find empowerment by asking for what you're worth. Carve out some time for healthy activities later tonight when Luna blows a kiss to Venus, pushing you to nurture and love yourself fully."
capricorn,love,"Despite the ongoing storm of Mercury retrograde, you’re stepping toward clearer skies, Capricorn. As the clouds part, our cosmic messenger, Mercury, will slowly inch toward a conjunction with the mighty sun. As they grow closer, you’ll begin to feel clear-headed and gain flashes of insight and inspiration. This energy will gain momentum now. As Mercury stands in the heart of the sun, speak from the heart—especially around emotional matters—as the one who you wish to connect with will truly understand and hear you. The messages you say now hold great impact, so use this time wisely."
capricorn,work,"Is it time to let go, Capricorn? You might have been more ruminative since Mercury stationed retrograde on April 1. These last few weeks might have been tough. You may have struggled with letting go of issues in your work life and moving forward. Luckily, you may catch a break when Mercury retrograde in Aries conjuncts the sun in Aries today. The conjunction could provide some much-needed relief. You may feel more light-hearted and less concerned with past professional ventures. Do not be afraid to move forward to achieve greater levels of success."
capricorn,dating,"When you're trying to romance someone, you have to give them your undivided attention. Instead of trying to entertain the whole room, narrow your focus and concentrate on you-know-who."
aquarius,daily,"Your sparkle returns as the moon enters Gemini, darling Water-bearer, putting you in a position to dazzle friends, colleagues, and love interests. Use this energy to take up space, seeking attention where you desire it most. Just be mindful to cultivate an air of mystery as you charge toward the limelight when Pluto stirs, helping you find empowerment through secrecy. Avoid spending impulsively when Mars and the South Node form an unbalanced connection, or you may miscalculate your budget. Allow your creative visions to flow into the material realms when Venus activates later tonight, prompting you to embrace artistic outlets."
aquarius,love,"Take a deep breath today, Aquarius. Despite the mighty windstorms of Mercury retrograde, things are looking much clearer today. Even if you feel confused and uncertain, mental Mercury, the planet of the mind and communication, will start to grow very close to the sun at this time. This will bring you the opportunity to have incredible mental breakthroughs and conversations about topics that are important to you and your sweetheart. If single, use this energy to send an engaging and sweet message to someone that you have your eyes on. They may begin a conversation with you that never ends."
aquarius,work,"Talking is hard, Aquarius. These past few weeks might have been extremely frustrating due to Mercury retrograde. You may have struggled to follow along in your work discussions. Relaying information, being heard, and understanding what is going on might feel nearly impossible at times. Thankfully, you may have a breakthrough today when Mercury retrograde in Aries conjuncts the sun in Aries. The cosmic energy could help you figure out a way to alleviate some of the miscommunication to get through the remainder of the retrograde. Have faith that everything will work out!"
aquarius,dating,"Your mind is telling you one thing, but your heart is telling you another. The one thing you've learned is don't pay attention to what your mind tells you. It will ruin things every time."
pisces,daily,"Get in touch with your emotions as the moon migrates into Gemini, dear Pisces, bringing a thoughtful yet moody energy your way. Take a logical approach toward understanding yourself and your situation, considering where you need to focus more attention or grace. Time spent alone will benefit you greatly when Pluto activates, plunging you further into the depths of your mind, body, and spirit. Lean into the power of positive thinking and reciting mantras, changing yourself and your surroundings by nurturing ideas and calling in healing. Ignite your senses with luxury and self-care when Luna and Venus connect tonight."
pisces,love,"Today is promising bright energy for you even though you’re in the midst of Mercury retrograde, Pisces. This is because our cosmic messenger, mental Mercury, will be uniting in a conjunction with the mighty sun. They will be joining forces in an area of your chart—your solar second house—that rules your morals and values and could allow you to do some deep soul-searching on these issues, especially regarding your personal and romantic life. Listen to your intuition and have a memorable heart-to-heart. Whoever you wish to connect with will very likely hear you on a whole new wavelength."
pisces,work,"Money might be difficult right now, Pisces. You may have experienced more financial strain since Mercury stationed retrograde back on April 1. The last few weeks might have led to more financial insecurities and unexpected stressors. So, it might give you food for thought when Mercury retrograde in Aries conjuncts the sun in Aries today. You may realize that something has to change if you want to feel comfortable and secure. Think about what you can do within your means to create more financial stability in your life throughout the remainder of the retrograde."
pisces,dating,All you want to do today is dream about you-know-who. You can't help it. You get mushy inside just thinking about your possible future together. Go ahead and indulge.
aries,daily,"Your Sunday may not start as harmoniously as you'd hoped, darling Ram, as the Cancer moon and Venus square off to bring an emotional energy to the table. Setting boundaries will be important when navigating these vibes, especially when Luna connects with Saturn and the Nodes of Fate later today, which could intensify frustrations if conflict isn't skirted. Luckily, the energy elevates tonight when Mars stirs in your solar twelfth house, though it may be necessary to embrace solitude while reconnecting with personal passions. Nurture yourself by heading to bed at an early hour before the moon and Chiron square off."
aries,love,"The moon will shiver and sing within the night sky, Aries. Our blessed Luna will swim through the tide pools of Cancer—her favorite place. With this falling in your solar fourth house, it is a magnificent time to snuggle up and spend some time at home. If single, perhaps have a mini get-together with some friends or invite a love interest over for some champagne and strawberries. For committed or married couples living with their partner, schedule a sweet date night with just you two."
aries,work,"Do not make an emotionally charged decision if you can help it, Aries. You might be unsure about where to go with your professional commitments when the moon in Cancer squares the North Node in your sign and the South Node in Libra. The fateful squares might cause you to feel more frustrated and unsure of yourself. You could be up in the air about maintaining or letting go of a professional arrangement. Since your emotions will run high, you could feel spurred to act. Instead of impulsively deciding, take your time to consider what you could do."
aries,dating,"This could be the best day you've had in a while. You feel fantastic and completely energized. You're in the mood for adventure. And an adventure is coming, so be ready for anything."
taurus,daily,"Remember that words can hurt as the Cancer moon squares off with Venus, dear Bull, taking care to be gentle with yourself and others. You may struggle to feel seen when Luna squares off with the Nodes of Fate, though a helping hand from Saturn can provide a sense of community when you flow alongside family or friends. Social media feeds can also come in handy for fighting isolation, so don't hesitate to reach out to your online companions. Consider hitting the town to cap off the weekend when Mars activates this evening, being mindful to head home before your bedtime rolls in."
taurus,love,"Look up into the great abyss of the divine today, Taurus. Our sweet moon will put you in your emotions and help you assess where your heart is. Whenever the moon is in Cancer, it is a wonderful moment to find peace and quiet. Plan a calm night in with your beloved, perhaps by the fireplace or cuddled up on the couch. You will have a deep need for security, to belong to someone who you love, and a desire to nurture those who you care for. Don't miss this lyrical moment to give and receive affection."
taurus,work,"What will come up in conversation, Taurus? Read between the lines when the moon in Cancer squares the North Node in Aries and the South Node in Libra. The cosmic energy will encourage you to pay attention to your context clues in your workplace discussions and exchanges. You may notice something that speaks to how your coworkers treat you and each other. An intuitive pull might also come up that could preface something to come into your work life. But the trick will be paying attention to what is happening instead of being in the middle of the action."
taurus,dating,"A power struggle with a difficult person might ruffle your feathers. Take the high road and you'll be much happier when you think back on the event an hour or even a year later."
gemini,daily,"You may feel disenchanted by society and your social media feeds as the Cancer moon and Venus square off, dear Gemini, which could cause you to disconnect. A stabilizing yet challenging energy takes hold later in the afternoon when Luna aligns with Saturn and the Nodes of Fate, making it important that you prioritize acting responsibly. It might be necessary to take an authoritative approach toward setting boundaries or handling business, but try not to damage important connections. You'll feel inspired to chase new aspirations when Mars stirs tonight, though it'll be necessary to plant seeds and establish stable foundations."
gemini,love,"Kiss the sky and whisper prayers to the moon today, Gemini. She will resonate throughout the cosmos and reach you to the core of your soul. As she swims upon the shallow beaches of Cancer, you will feel the instinctive need for peace and quiet. While you often like to race actively about, now may be a better time for healing or a family get-together. Your feelings will likely run deep at this time, so it could be a wonderful moment for you to cuddle up under some summer lights with your beloved. Embrace the moment and find the magic there."
gemini,work,"What do you value, Gemini? As the moon in Cancer trines Mars in Pisces and Saturn in Pisces, you might feel more reflective of your career path. Work opportunities for advancement and financial stability might come to mind today. You might be more attuned to what you truly need to feel secure, safe, and stable. It might be time to prioritize work opportunities that will pay for your skills and find financial opportunities that could help you meet your goals. Using your value system could help you improve your means of security!"
gemini,dating,"Today can be a fantastic day, one of those days that reminds you how great your friends are and how fun it is to be surrounded by like-minded people. You haven't felt this good in a while, so embrace it!"
cancer,daily,"The moon continues its journey through your sign today, dear Cancer, forming a hash square with Venus that could lead to ruffled feathers and increased pressure. Consider how setting restrictions or boundaries can help you expand when Saturn stirs later today, nudging you to cultivate healthy structures so you can focus on long-term aspirations. Just remember that progress takes time when the Nodes of Fate stir, even if you can't quite see the road ahead. A spark ignites within when Mars activates later tonight, helping you feel more motivated than ever to boldly chase your dreams."
cancer,love,"You’ll be feeling deeply centered and at one with yourself today, Cancer. Your ruling luminary, the moon, will swim through your soul. Relationships often come to the forefront of your consciousness when she flutters her tail and moves through your solar first house—your zodiac sign—so this is a good moment to focus on where you personally stand within them. Dig deep into the truth that is whispering from within you. You may decide it's time to talk about your feelings or else make plans with someone new. Take the lead. You have the court now."
cancer,work,"How do you feel about your work-life balance, Cancer? Work through your complicated emotions about your schedule when the moon in your sign squares the North Node in Aries and the South Node in Libra. The fateful squares may make you feel like you cannot win. It could be challenging to make changes to pursue personal goals or professional ambitions. Since you might be tempted to make a change today, you may want to think about what you need to feel emotionally stable as you handle your work life and personal matters."
cancer,dating,"It's not the best time to think about reaching for more. Focus on what you have and take care of the little problems that are dancing around you. Soon you can move on."
leo,daily,"You'll revel in soft moments of peace and quiet as the Cancer moon aligns with Venus, dear Leo, unleashing your elusive and spiritual side. Use this energy to acknowledge where you're at energetically, taking steps to balance the mind, body, and soul. Uplifting yet intense vibes flow later today when Luna aligns with Saturn and the Nodes of Fate, pushing you to set long-term goals around personal transformation. The more you invest in elevating yourself, the better off you'll be down the line. Passions flow when Mars stirs later tonight, bringing you closer to that special someone."
leo,love,"A sweet and shimmering moon is spinning through the sky today, Leo. She will visit the zodiac sign of Cancer and blow bubbles from up above. Any transit of Cancer often brings out our nurturing and sensual side, so embrace this vibration if you catch its drift. Also, as this moment falls within your solar twelfth house, you could be highly reflective or even nostalgic. Contemplate how romance has played into your life throughout the previous month and where you’d like it to grow in the weeks ahead. Release your fears and enjoy some domestic magic."
leo,work,"How can you handle your financial limitations, Leo? You may have to work through your subconscious outlook on your money matters when the moon in Cancer trines Mars in Pisces and Saturn in Pisces. The watery energy might be more emotional, so you may feel strongly about your financial capabilities. You might be unhappy with your current state. Maybe you are upset with your debt-to-income ratio, credit score, or lack of financial resources. Instead of giving up, the watery trines could help you take action to feel emotionally secure with your financial matters."
leo,dating,"Suddenly everyone is paying you compliments. You knew you were doing good things, but it feels great to be validated by other people, especially by other interesting single people."
virgo,daily,"Be wary of anyone who attempts to get too close too fast, dear Virgo, as the Cancer moon squares off with Venus. You won't be in the mood for overly dramatic displays of affection, preferring a slower approach toward intimacy. Prioritize your own sense of balance by socializing with those who lift you up later today when Luna aligns with Saturn and the Nodes of Fate. If you're burnt out on communing with others, use this energy to cleanse the aura with a bit of self-care. Matters of the heart will be easier to navigate later tonight when Mars ignites passion."
virgo,love,"A whistling moon will flutter her fins like a stingray within the sky today, Virgo. She will visit the zodiac sign of Cancer—lighting up the night from within your solar eleventh house. Because of this and how it blends so well with your element, you'll likely hear from many friends. This could be a magnificent time to attend an event in person or over Zoom. Gather some pals and reminisce on the good times you've had. Have your partner tag along to join in the festive mood. However, this same moon phase could help singles find someone who tickles their fancy if they are open to searching online, joining a dating website, or even checking out an app."
virgo,work,"Who could you connect with, Virgo? There might be a chance to reach out to an older, established colleague when the moon in Cancer trines Mars in Pisces and Saturn in Pisces. If you have been waiting to reconnect, then now is the time to do it! You could use this cosmic energy as a boost of confidence to reach out. Then again, the colleague could make an effort to contact you first. Once the conversation gets rolling, it may feel like no time has passed since you guys last connected."
virgo,dating,"A lot is happening today, and trying to get everything done in the order you want is going to drive you nuts. Go with the flow and the day will speed by. It's all about giving up control."
libra,daily,"The Cancer moon squares off with Venus, your planetary ruler, creating a tense environment that could dramatically impact your romantic sphere or professional allies. If the vibe heats up, look for opportunities to pull away. Focusing on your to-do lists and personal errands can provide a reprieve from uncomfortable dynamics when Saturn stirs later today, assisting in your quest to set boundaries and recalibrate. However, you'll want to avoid a stoic approach toward asking for space when the Nodes of Fate stir, or you could encounter pushback. The energy elevates tonight when Mars activates, helping you close out the weekend with wellness practices."
libra,love,"As the moon spins between scattered clouds, she will peer down at you today, Libra. As she visits Cancer, also known as your solar tenth house of professional achievement, you’ll likely find yourself fixating on work. However, whenever she visits this water sign, Luna also encourages us to embrace a lovely domestic vibration. Pop open some champagne, whip up a delicious meal, and dance with your dearest. What a magical way to grow closer with your sweetheart! You often know exactly how to find the perfect work-life balance, so use your famous grace right now."
libra,work,"Do you want to shift gears in your work life, Libra? You may not like who or what you are associated with when the moon in Cancer squares the North Node in Aries and the South Node in your sign. The lunar squares could indicate that a fated change needs to take place. You may have to adjust who you work with and what you are responsible for if you want to change your professional legacy. After all, your commitments will play a huge role in your reputation and accomplishments. So, focus on the ones that matter the most!"
libra,dating,"It turns out that everyone looks up to you today. People you didn't think knew you existed could suddenly come out of the woodwork with kind words. Isn't it flattering to be so well regarded?"
scorpio,daily,"Remember to take care of yourself by seeking spiritual fulfillment and making time for self-care, dear Scorpio, as the Cancer moon squares off with Venus. You'll feel tempted to run in many directions at once when Luna aligns with Saturn and the Nodes of Fate later this afternoon, though overfilling your to-do lists could cause you to miss important steps or trigger disorganization. You'll perk up with a newfound sense of passion when Mars activates later tonight, nudging you to unleash creative potential in fresh and interesting ways. This energy also lends aid to your romantic affairs, heating up your connections."
scorpio,love,"As the moon swims into the shallows of a fellow water sign, she will find glittering shells with your heart emblazoned on them, Scorpio. Whenever the moon transits Cancer, she so sweetly encourages you to open your spirit and pursue intellectual adventure with your dearest. Plan a simple and sweet date night with your partner where you enjoy each other’s hearts and bodies as the moonbeams rain down from heaven above. These are the moments that make life worth living and so often become the jewels we keep in a locket."
scorpio,work,"How far can you go, Scorpio? It might be time to pursue a passion project when the moon in Cancer trines Mars in Pisces and Saturn in Pisces. The watery energy will compliment your artistry and visionary process. You may feel more attuned to your passion projects, talents, and ideas now more than ever. Since your creativity will be heightened, it could be time to take your talents seriously. Your skills could pave the way in your professional journey if you have faith in them. Take action and see where a creative endeavor may lead."
scorpio,dating,"Someone could be difficult today. You'll do just fine, but one thing is for certain: this is not the day to get into a long discussion with anyone. Play it cool. You'll be glad you did."
sagittarius,daily,"Watch out for power struggles and ego bruises this morning, dear Sagittarius, as the temperamental Cancer moon squares off with Venus. Put disharmony in check later today when Luna aligns with Saturn and the Nodes of Fate, nurturing yourself and supportive dynamics while moving away from tension. This energy also marks the perfect time to bring order to your home, though you may be required to forgo fun while getting back on track domestically. Embrace movement as a way to shake off stress or stagnant energy later this evening when the moon blows a kiss to passionate Mars."
sagittarius,love,"The dazzling moon will offer wisdom tonight as she visits your solar eighth house of intimacy and trust, Sagittarius. She will ignite your urge to merge. While you will certainly be deep in your feelings, you could face the realization of whether or not you are getting the support you need in your relationship. Assess the give and take between you now. For those who are committed, if you are not having your needs met, you may decide to talk about it. Know that leading with sensitivity and grace will get you quite far in matters of love now. Sharing is an art form."
sagittarius,work,"A lifestyle change might be in order, Sagittarius. Financial improvement is possible when the moon in Cancer trines Mars in Pisces and Saturn in Pisces. However, it might only be possible if you change things in your personal life. You may have to curtail some of your spending and stick to a budget to see a difference in your finances. By doing so, you may notice that it is much easier to save money and even pay off some of your debt. As a result, you may notice a substantial improvement in your finances and lifestyle over time."
sagittarius,dating,"Good fortune is smiling down on you. Even if you bought the cheapest tickets you could find, you might be randomly bumped up to first class. It's just one of those insanely special days."
capricorn,daily,"Your feelings could get rocky when it comes to matters of the heart, dearest Sea-goat, when the watery Cancer moon squares off with Venus. This energy also threatens to trigger tension within familiar or domestic affairs, and it may be difficult to maintain compassion. Take a logical approach toward conflict resolution when Luna aligns with Saturn and the Nodes of Fate later this afternoon, doing your best to understand others while demonstrating emotional intelligence. The ambiance elevates this evening when Mars activates, helping you initiate stimulating conversations that are sure to bring you and your loved ones closer together."
capricorn,love,"As the moon spins like a mermaid across the sky from you today, she will whisper softly from your solar seventh house of partnerships, Capricorn. This may encourage you to take a deep, emotional look at where you stand with your sweetie. The sweet vibes could feel like spiritual magic enticing you to cuddle up, laugh, or share at this point. If single, you'll be feeling the urge to find your special person, so set up a date with someone who intrigues your heart. Listen to it. Take your time in love. Remember: there is no hurry."
capricorn,work,"Follow your gut feelings, Capricorn. Pay attention to how you feel about the commitments you have at work and home when the moon in Cancer squares the North Node in Aries and the South Node in Libra. You might feel unsure about what to prioritize. There could be professional opportunities that you want to pursue and personal goals that you feel strongly about. But this could be challenging since you might feel guilty if you pursue one thing over another. Work through how you feel to figure out what you want to prioritize."
capricorn,dating,"The way to get through your day and maintain a modicum of sanity is to keep to yourself and hold your tongue. It's maddening, but it's true. You can tell a close friend how you really feel later."
aquarius,daily,"Your mind could misfire if your wellness routines have fallen to the wayside, dear Aquarius, as the Cancer moon and Venus remind you of the importance of self-care. The cosmos stir later this afternoon when Luna aligns with Saturn and the Nodes of Fate, and issues could arise if you dish out unsolicited advice, which could cause others to feel criticized. Focus on teamwork rather than individual responsibilities to avoid tension. Lay the groundwork for your next bold move this evening when the moon blows a kiss to Mars, igniting your passions and an unrelenting work ethic."
aquarius,love,"The whispering moon has thrown on her favorite dress and is spinning within the night, Aquarius. She will transit Cancer, the zodiac sign that she rules. You will have a sudden urge for peace, calm, and quiet. Embrace it, and you will be so glad that you did. This particular influence will urge you to spend time with someone who makes you feel safe and like you belong. Your feelings will run as deep as the ocean now, so don't run from what they're telling you. A sweet heart-to-heart could be exactly what the two of you are looking for."
aquarius,work,"It might be time to give yourself more, Aquarius. You may feel strongly about making a change at work to improve your finances when the moon in Cancer trines Mars in Pisces and Saturn in Pisces. The watery trine will encourage you to reflect on what you want to achieve. Your main priority could be long-term financial security and stability. If this is the case, then it might be time to make a change in your work life. Maybe you should look into a side hustle that will bring in extra cash or a better-paying professional position."
aquarius,dating,"You find out that your big idea is good to go, and you feel a surge of energy that might help you figure out what you want to do next. It could lead to a big change of plans for you."
pisces,daily,"Avoid overspending on ego-related items as the Cancer moon squares off with Venus, dear Pisces, accentuating your desire to be fashionable and on-trend. You'll find more satisfaction in refining your image through creative pursuits when Saturn stirs later today, encouraging you to view passion projects with a newfound sense of responsibility. Unfortunately, a harsh t-square with the Nodes of Fate could inspire unwise investments, and it'll be important to remember that the tools do not make the artist. Use what you have available instead of shopping for more. Your tenacious spirit shines through this evening when Mars activates."
pisces,love,"As the moon scuttles across the sky, you'll be feeling giddy for love, Pisces. Whenever the moon visits Cancer, not only does she radiate from the depths of a fellow water sign, but she energizes your solar fifth house of romance and passion. This may bring happy blessings your way! Get in touch with your greatest sensitivity and consider doing something dazzlingly romantic. If single, you could set up a date with someone charming or cross paths with someone just your type. Those in committed relationships may feel the urge to have a bit of fun and bring the spark back into their rapport or work on conceiving a child. Open your heart now so you can hear it sing."
pisces,work,"What could you create, Pisces? Untap your creativity when the moon in Cancer trines Mars in your sign and Saturn in your sign. The watery energy will encourage you to unleash your imagination. If you have been visualizing a creative venture or idea for a while, then it might be time to flesh it out. Do not restrict yourself because you are unsure if it will become a successful passion project. Just let your creativity flow to see where it goes. You might surprise yourself with what you have come up with by the end of today!"
pisces,dating,"You have a right to your opinions, but not everyone wants to hear it. Stick to your own game plan and let others tend to theirs. The less you get involved, the better it'll be for everyone."
aries,daily,"Creative whimsy fills the day, sweet Ram, as the warming Leo moon encourages you to be outgoing, artistic, and authentically free. The temptation to forgo responsibilities in order to have fun will be pronounced, though you should be mindful of what you need to both stay on track and feel elevated. Find joy as each hour passes, lightening the mood whenever serious situations or important tasks pop up. Connecting with friends will also comfort your mind, body, and spirit, energizing you with each positive interaction. Invest in passion projects before heading to bed, allowing your heart to sing."
aries,love,"You’ll enjoy a super dose of sexual attractiveness now in the many days ahead, Aries. As your planetary ruler, Mars, the red planet of sex, desire, and lust, continues to shake it up in the sky, you'll feel exuberant and ready to put yourself out there. Your magnetism and light will radiate a thousandfold as he links to glorious Jupiter, the planet of luck, expansion, and magnificence. Use this energy to take the lead in your personal, romantic, and sex life. You'll be glad that you did because people could soon be on their knees begging for a chance to love you."
aries,work,"What do you feel strongly about, Aries? Reflect on what you feel drawn to pursuing when the moon in Leo opposes Pluto in Aquarius. The intense opposition will encourage you to reflect on using your creativity, self-expression, and aspirations in your career path. There might be something that you cannot wait to do any longer. You should begin a new passion project during this incredible cosmic energy since you have the endurance and desire to do so. Do not deny yourself the creative freedom and fulfillment that will come from pursuing a dream."
aries,dating,"A friend or maybe an ex needs something from you that you should totally give up if you can. You might resent it a little, but in the end you'll be glad you did. There's big karma in it for you."
taurus,daily,"The Leo moon illuminates the sector of your chart that governs private life, dear Taurus, asking you to focus on the health of your home and familiar bonds. Use this energy to bring brightness wherever you go, looking for opportunities to raise the vibration. Buried feelings could also come to the forefront of your mind as the stars nudge you to nurture the emotional body. Embrace the people, foods, and activities that offer the most comfort, and consider reconnecting with your inner child. Sweet nostalgia carries you into the evening, helping you soothe old wounds while supporting your current self."
taurus,love,"Ignite like a wildfire, Taurus. The entire cosmos is favoring you and your passions now. You will have the courage and dynamic energy to conquer like the royalty that you are. As mighty Mars, the planet of sex, courage, and passion, links in a sextile to the Great Benefic, Jupiter, now spinning like a god in your solar first house of identity—your zodiac sign—you will feel competitive to build your love life like you deserve the greatest romance the world has ever seen. Use your words in the many days ahead and command like they are a magic spell, and watch as everyone bows at your knees."
taurus,work,"There is a lot of pressure on you, Taurus. You may feel like the weight of the world rests on your shoulders when the moon in Leo opposes Pluto in Aquarius. Since this opposition is intense, you may feel like you cannot handle things in your career path or at home. It could be challenging to maneuver since you have a lot on your plate—not to mention that there are high expectations of you in your career path. Since this could be a lot, you may need to find some sort of outlet to help you decompress."
taurus,dating,"You're in the mood to get closer to someone. It doesn't have to be romantic, but it will be great for both of you if it is. Make sure you two are on the same wavelength before you move in."
gemini,daily,"Your chipper, chatty self shines through today, dearest Gemini, as the Leo moon puts you in a communicative and open headspace. Use this energy to invest further in dynamics that bring out the best in you, understanding how important your attention truly is. Your words carry more weight than usual under this luminary placement, and you'll want to keep a kind disposition. Avoid gossip or downplaying your own worth, staying positive to avoid drama. The Leo energy at play could lead to inflated egos, so be sure to tread carefully when it comes to temperamental, overly serious, or sensitive peers."
gemini,love,"Prepare to feel your internal passions ignite now and in the many days ahead, Gemini. Mighty Mars, the planet of sex and drive, will dance in the center of a fire tornado with the Great Benefic, Jupiter, sending you glorious blessings from beyond the veil. Now is the perfect time to brainstorm how you can build the most fabulous and ferocious love story you've ever imagined. Don't be limited by your past or what other people think you should have—go forth. Speak your wishes into existence."
gemini,work,"How do you move forward, Gemini? It could be challenging to know when to move on. But there might be undeniable signs to make a move in your professional journey when the moon in Leo opposes Pluto in Aquarius. You may feel like you have outgrown your current position in your career path. Maybe it is the job itself or the place. Regardless of what it might be, you could use this cosmic energy as a push to go in a new direction. It might be scary, but ultimately, it is very fulfilling to try something new!"
gemini,dating,"You need to get things started, but you don't have to worry about finishing them. There are plenty of people who will pick up your slack if you decide to leave early or start other new things."
cancer,daily,"Greet the day by finding your gratitude, dear Cancer, as the Leo moon connects you deeply with your surroundings. This energy is perfect for establishing a sense of security within, elevating your heart while keeping you centered in the present. Money matters could also come into focus, and you'll find that it's easier to visualize the path toward manifestation. Sow seeds to grow a greater future, allowing yourself to take pride in these goals. These vibes also grant permission to indulge, giving you celestial permission to pull the trigger on any personal purchases you've been on the fence about."
cancer,love,"You’ll be feeling fierce and fired up now and in the many days ahead, Cancer. As mighty Mars, the red planet of lust, desire, and sex, shoots a spicy glance over to glorious Jupiter, our planet of miracles and luck, you could find that opportunities for romance are around every corner! However, don't just bat your eyes at them; be sure to show the world that you're available and hungry for some loving! Flash your pearly whites and take the lead as you introduce yourself. Humor, charisma, and sexual magnetism will ooze from your body and soul."
cancer,work,"Financial strains might feel like they are larger than life, Cancer. It might be tough to handle money matters with some emotional balance since the moon in Leo will oppose Pluto in Aquarius. The opposition will be incredibly intense and even extreme. So, it might bring up some tough feelings about your debts, assets, and other burdens. You might even have to work through some financial wounds and triggers if you feel out of control. Although this could be a lot to handle, it might encourage you to reflect on what you need to change to feel secure."
cancer,dating,"Bad behavior is at an all-time high, but don't get parental on anyone just yet. Your people are acting like kids, and not in a fun or playful way. The weirdness should pass soon."
leo,daily,"A light shines behind your eyes as the moon continues its journey through your sign, sweet Leo, helping you feel more at home within yourself and the universe. Use this energy to prioritize your personal goals, taking a break from catering to family and friends so you can focus on self-fulfilling prophecies. Your popularity rises under these cosmic conditions, helping you attract a higher caliber of friendships, romantic interests, or professional intrigue. Step into the limelight where you crave it most, easily gaining recognition to cultivate traction for the path that lies ahead. Just remember that you don't have to climb each mountain alone, seeking aid if needed."
leo,love,"The cosmos is spinning in a scintillating and sizzling way now and in the many days ahead, Leo. Mighty Mars, the planet of sex, drive, and passion, will continue to explore the skies like a sojourner, and as he races along, he'll link in a glorious sextile to Jupiter, our Great Benefic and the planet of optimism and growth now dancing exuberantly in the heavens. A vibrant adventure may present itself before your feet. Your confidence will skyrocket, unleashing the fiery beast within! Let your libido run wild! You—and everyone else—will be ready for some pleasing!"
leo,work,"How do you feel about your commitments, Leo? You may have to work through your feelings as the moon in your sign opposes Pluto in Aquarius. There might be a lot of pressure from your arrangements and partnerships. You could feel like this is challenging to maneuver since you are usually hardworking, dedicated, and loyal. But if something or someone feels like it is too much, then you may need to adjust. Do not be afraid to set boundaries with your coworkers or clients if you need to take some of the pressure off you."
leo,dating,"You're all about the cuties right now, even if you're deep into something good with someone else. Try not to make anyone jealous on purpose, though a little bit of it might spice things up."
virgo,daily,"The moon glides freely through warming Leo, putting you in an introspective yet optimistic headspace. Use this energy to connect with your deepest self, dear Virgo, finding the strength to face any dark corners of the mind you've been avoiding. Do your best to avoid others, making space for introspection to harness the healing energy at play. Maintain a positive internal dialogue, actively boosting your confidence through mantras, meditation, and healing practices. The more you go within, the more clear your circumstances will become. While heightened intuition could lead to epiphanies that guide your next bold move."
virgo,love,"Euphoria will drip down upon you like you are a honeybee who has finally found the nectar of the gods, Virgo. As mighty Mars, the planet of sex, drive, and passion, continues to sizzle across the sky from you in your solar seventh house of relationships, you’ll watch like a bystander as he links eyes with glorious Jupiter, our Great Benefic, now spinning like a brilliant star in a fellow earth sign. This may propel you to date someone outside of your normal type, background, or culture. If you can take a fabulous trip with your sweetheart, go for it!"
virgo,work,"Do not let your work take over, Virgo. As the moon in Leo opposes Pluto in Aquarius, this might serve as your reminder that there is more to life than just work. You might have to make a subconscious adjustment to how you handle work. Usually, you are the type of professional who will get through anything, thanks to your strong work ethic. However, you may need to take a step back because work could be getting in the way of enjoying your hobbies, downtime, and non-professional connections. Adjust so that you have a better work-life balance."
virgo,dating,"Even the simplest date might make you feel as if you're running a marathon. But if you last through it, you'll find a second wind just as things get more interesting. See? It was all worth it!"
libra,daily,"Open yourself to new connections as the moon continues its journey through Leo, dear Libra, putting you in the mood to expand socially. You'll feel more in tune with those you encounter, making it easier to bond over similar interests or philosophies. Much comfort can be found when aligning with those who hold similar views, especially when there are opportunities to volunteer or make a difference. You'll also have a chance to stand out amongst the crowds, as the stars help you establish a strong sense of self within the community, so don't be afraid to shine!"
libra,love,"Prepare to feel exhilarated and ferocious, Libra. The stars are singing like a billion cherubs. As mighty Mars, the planet of sex, drive, and passion, sizzles the heavens, he will cast spells upon magnificent Jupiter, our Great Benefic, soaring through the sky like a phoenix. You will have a sudden hunch or intuition about how you should take the lead in your personal life. Follow the spirit that sings to your soul and embrace it like you are crafting your greatest legacy."
libra,work,"How strongly do you feel about an idea, Libra? Usually, you are the type of professional who will deliberate on a potential venture before deciding what to do. But you may feel really good about a new creative venture when the moon in Leo opposes Pluto in Aquarius. The cosmic energy could be intense, but it might be the push that you need to make a change. Do not be afraid to start something new if you feel strongly about pursuing an idea or passion project. Give it your best shot!"
libra,dating,"You're feeling closer than ever to your good friends, and you should make sure you all get to spend time together soon. Your easy social energy keeps everyone buzzing and happy."
